"","aa","year_haul","year","haul","Depth","Depth_cat","sh_lon","sh_lat","Area","Bottom.type","Bottom.type.new","Bottom.temperature...C.","Angu ang","Arge sph","Aris fol","Aris ant","Arno lat","Boop boo","Both pod","Call mac","Call ris","Cent gra","Chel cuc","Chro chr","Cong con","Cori jul","Dasy pas","Dent gib","Dent mac","Dent mar","Dipl ann","Dipl pun","Dipl vul","Eled cir","Eled mos","Engr enc","Epin aen","Etmo spi","Eutr gur","Gale mel","Gobi nig","Heli dac","Hopl med","Ille coi","Labr mer","Lepi cau","Lepi bos","Lepi cav","Lepi die","Lith mor","Loli for","Loli vul","Loph bud","Merl mer","Micr pou","Mull bar","Mull sur","Mura hel","Must mus","Myli aqu","Neph nor","Octo vul","Page aca","Page bog","Page ery","Phyc ble","Phyc phy","Poly ame","Pter bov","Raja ast","Raja cla","Raja mir","Sard pil","Sard aur","Scom sco","Scor not","Scor por","Scyl can","Sepi ele","Sepi off","Sepi orb","Serr cab","Serr hep","Serr scr","Siga lur","Siga riv","Sole sol","Sole mem","Spar cre","Spar aur","Sphy chr","Sphy sph","Spic fle","Spic mae","Spic sma","Spon can","Squa aca","Squa bla","Squi man","Step dia","Symp cin","Symp ros","Symp tin","Syng acu","Syng typ","Syno sau","Torp mar","Torp nob","Torp tor","Trac dra","Trac rad","Trac med","Trac tra","Trig luc","Trig las","Tris min","Upen mol","Upen por","Uran sca","Zeus fab"
"12",12,22005,2005,2,292,"201-500",24.65983333,36.92566667,"SouAeg","Mud","Soft",NA,NA,0.731024929466792,NA,NA,NA,NA,NA,NA,NA,NA,0.257427458858101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0234647190549377,NA,NA,NA,NA,NA,NA,NA,-1.28110367649932,NA,1.32760921867681,NA,0.770189585712897,0.58364598946925,NA,NA,NA,0.112540997903102,NA,0.0211702187741777,-0.571588987769676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.626485523091955,NA,NA,NA,NA,NA,NA,-0.0465370040703036,NA,NA,0.918628995054623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.961380622069105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077277243485375,NA,NA,NA,NA,NA,NA,NA
"13",13,22006,2006,2,261,"201-500",24.66266667,36.92566667,"SouAeg","Mud","Soft",NA,NA,1.92857599427715,NA,NA,NA,NA,NA,NA,NA,NA,0.764727613658933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.09918178175259,NA,-0.660662818232535,NA,0.330501704540373,-1.74316311968631,NA,NA,NA,-0.442614869159775,NA,-0.489246690134624,-1.06168203993073,NA,NA,0.0771692235693004,NA,NA,NA,NA,NA,NA,NA,NA,-0.66821149580497,NA,NA,NA,NA,0.933249690675835,NA,NA,NA,NA,NA,NA,1.47545022619444,-0.81859048425898,NA,-0.769184489441736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,22008,2008,2,261,"201-500",24.66183333,36.92333333,"SouAeg","Mud","Soft",NA,NA,-0.101401819571319,NA,NA,NA,NA,NA,NA,NA,NA,1.34306594547058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.900247690002022,NA,0.25081843269109,NA,1.5239975846594,0.974876847047207,NA,1.67407889648914,NA,-1.8089647519221,NA,-1.31564834793654,-0.667639115454615,NA,NA,0.566142353425806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.825757814473278,NA,NA,NA,NA,NA,NA,1.24896857378528,0.964790773408729,NA,-0.800971384143469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28398778508047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219978929847273
"15",15,22014,2014,2,257,"201-500",24.662,36.927,"SouAeg","Mud","Soft",NA,NA,0.71535711708871,NA,NA,NA,NA,NA,NA,NA,NA,-1.15994144465209,NA,-0.0541077875161664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03215241016603,NA,0.294316598134716,NA,NA,-1.03837409593584,NA,NA,NA,0.609877682968814,NA,-1.50974375492538,-1.11899157151464,NA,NA,0.714663690899779,NA,NA,NA,NA,NA,NA,NA,NA,0.665160439606963,NA,NA,NA,0.205246021983894,0.0391298120079222,NA,NA,NA,NA,NA,NA,0.495303738417335,-0.0957485233593012,NA,1.02727430869153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717680465369521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,22016,2016,2,259,"201-500",24.662,36.92666667,"SouAeg","Mud","Soft",NA,NA,-0.968507763726806,NA,NA,NA,NA,NA,NA,NA,NA,-0.290118373087895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.687733663961057,NA,0.75932780324905,NA,NA,NA,NA,NA,NA,-1.52664528469941,NA,2.05763677065465,0.1823238079401,NA,NA,0.420709517080959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00793079271743,2.2324963845481,NA,NA,NA,NA,NA,NA,-0.36637427662618,-0.141560206474897,NA,-0.936245517483022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37506112792589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63178988043011
"17",17,32001,2001,3,159,"101-200",24.4245,37.097,"SouAeg","Mud","Soft",15.55,NA,0.0742824398127738,NA,NA,NA,NA,NA,NA,NA,NA,-0.0576482804251439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552491821305485,NA,NA,NA,NA,NA,NA,NA,NA,-0.325321033631388,-0.801750163635558,NA,1.16947119931455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0138463610787841,NA,NA,NA,NA,NA,NA,-1.31301504162763,NA,NA,0.431557381985013,1.89540723456418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,32003,2003,3,154,"101-200",24.42216667,37.09966667,"SouAeg","Mud","Soft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.584356709909135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03372566175323,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.59601608158547,NA,NA,NA,NA,NA,NA,NA,NA,0.904225158002079,-0.839094009714202,NA,NA,NA,NA,NA,NA,NA,-2.18325170451423,NA,NA,NA,NA,NA,NA,NA,NA,0.431100295057628,NA,NA,NA,NA,NA,NA,-0.827513381901253,NA,NA,-0.126388887627026,-2.17172723265304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573241793617451,NA,NA,NA,NA,NA,NA,NA
"19",19,32004,2004,3,151,"101-200",24.42266667,37.10066667,"SouAeg","Mud","Soft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1020561214814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0529300021323194,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0394467968136544,NA,1.30017105313237,-1.98443971860668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996463548933452,NA,NA,NA,NA,NA,NA,-1.51414020405122,NA,NA,-0.286450430164559,1.53796651495208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.359249668946297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.390828648123094,NA,NA,NA,NA,NA,NA,NA
"20",20,32005,2005,3,155,"101-200",24.41166667,37.09916667,"SouAeg","Mud","Soft",14.8,NA,1.22438286241929,NA,NA,-0.465928175638975,NA,NA,NA,NA,NA,1.40881114334619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.24064518677738,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0886660369202743,NA,NA,NA,0.719709158641035,NA,NA,-1.69033936730669,NA,NA,0.0897207814318271,NA,-0.345150993100592,-3.63794294002771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.164604038391042,NA,NA,NA,NA,NA,NA,-0.0407483477112542,0.00588436350576752,-0.576716320464157,-1.80308245403069,0.102714106072723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,32006,2006,3,156,"101-200",24.42216667,37.09933333,"SouAeg","Mud","Soft",14.6,NA,-0.578703488750214,NA,NA,-1.41482751175051,1.19012079865519,NA,NA,NA,NA,0.874593423606966,NA,-0.368251906644328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06495598233253,NA,NA,NA,NA,NA,NA,NA,-0.359922195157892,0.0430938672365003,1.14303405294084,NA,-2.64739098173331,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.834761508479765,NA,NA,NA,NA,-1.48062276505497,0.675172695580213,NA,NA,NA,NA,NA,0.907330059193415,-1.38330380520901,NA,-2.20534838740924,-0.701986101330279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,32008,2008,3,155,"101-200",24.42616667,37.099,"SouAeg","Mud","Soft",NA,NA,NA,NA,NA,1.51488336184868,-0.309451946333995,NA,NA,NA,NA,-1.34279625826204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17041108862322,NA,NA,NA,NA,1.0067397363626,NA,-0.177777947494816,NA,0.535453348735788,1.31616106870045,NA,NA,NA,NA,NA,NA,NA,0.93461395172287,NA,NA,NA,NA,NA,NA,NA,NA,-0.297329240999767,NA,NA,NA,NA,NA,NA,-0.559015414267675,-0.316703247413279,NA,-0.685882987404638,-1.37491520265031,-0.373441606477208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00482238171937727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,32014,2014,3,156,"101-200",24.4245,37.09866667,"SouAeg","Mud","Soft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917039435413373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.554554047009067,NA,NA,NA,1.6637334768149,-0.588959485614305,NA,NA,NA,-0.858576426759761,NA,NA,NA,0.957495083588886,NA,NA,NA,NA,NA,NA,NA,-0.923115087180706,NA,NA,NA,NA,NA,-0.471376076672153,NA,NA,NA,NA,NA,NA,-0.00620180098552732,-0.0378297398039689,NA,0.301296582460909,0.818969252888328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.855069908892974,NA,NA,NA,NA,NA,NA,NA
"24",24,32016,2016,3,155,"101-200",24.4235,37.09883333,"SouAeg","Mud","Soft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0110314000052271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15772417686083,NA,NA,NA,1.11774053888627,NA,NA,NA,NA,-0.358596562438452,-0.618571550186904,NA,-0.256691367709154,NA,NA,NA,NA,NA,NA,NA,NA,0.757745773935884,NA,NA,NA,NA,-0.256877667877174,-2.02660256708526,NA,NA,NA,NA,NA,NA,-1.4520666873367,-0.468992338969242,-0.602191372226228,-0.67005748700211,0.56288014888743,0.0511123518834989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.439311990718042,NA,NA,NA,NA,NA,NA,NA
"25",25,42001,2001,4,385,"201-500",24.41166667,37.05933333,"SouAeg","Mud","Soft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301524176858815,NA,NA,NA,NA,NA,NA,NA,0.448557952363653,NA,NA,NA,0.182761590328791,0.586284147338623,NA,NA,NA,1.11132860930895,NA,NA,-0.136012143993578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.293164318559364,NA,NA,NA,NA,1.18045106977543,NA,NA,NA,NA,NA,NA,0.989107196143338,NA,NA,0.971530261515067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34894900178951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2229368750996,NA,NA,NA,NA,NA,NA,NA
"26",26,42003,2003,4,389,"201-500",24.41466667,37.05983333,"SouAeg","Mud","Soft",NA,NA,-1.96059956198455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.221373324536001,NA,NA,NA,NA,NA,NA,NA,0.155535093769,NA,-0.531176999544742,NA,NA,0.749187957230207,NA,NA,NA,0.137139557165117,NA,-0.672245969616814,0.602335584194137,-0.44740750381842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826889412700562,NA,NA,NA,NA,NA,NA,-0.147320034433411,NA,NA,-0.226064171691346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138027864770416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,42004,2004,4,385,"201-500",24.41566667,37.06133333,"SouAeg","Mud","Soft",NA,NA,0.0750851878615896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.759987770904615,NA,1.65944676888661,NA,-0.842330423026566,-1.98965346199522,NA,NA,NA,-0.0985197838852444,NA,NA,0.167856275101617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.939870912369171,NA,NA,-1.86961470480504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.907228072844765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
